Product_ID,Mass,Product_Class,Product_Type,Unit_Price,Quantity sold,Branch_Id,Sales_Date,Branch_Size,Branch_Location,Branch_Type,Total sales in RWF
IDSS13,11.505,Normal,Sodas,1923.85916,24,S008,1/3/2019,Level2,Nyarugenge,Simba_Branch2,46172.61984
UMRS60,0,Normal,Fried Foods,580.70218,36,S007,1/3/2019,Level2,Nyarugenge,Simba_Branch3,20905.27848
ISNS62,0,Less fat,Fried Foods,1375.63086,10,S007,1/3/2019,Level2,Nyarugenge,Simba_Branch3,13756.3086
BVPS52,17.355,Less fat,Cheese,3620.97264,21,S006,1/3/2019,Level3,Gasabo,Simba_Branch1,76040.42544
DCSS57,12.74,Less fat,Meat,1978.2314,32,S003,1/3/2019,Level1,Nyarugenge,Simba_Branch1,63303.4048
CSTS80,17.68,Less fat,Fried Foods,3028.74352,43,S009,1/3/2019,Level2,Gasabo,Simba_Branch1,130235.9714
NGAS72,27.755,Less fat,Packed Foods,4080.86646,54,S008,1/3/2019,Level2,Nyarugenge,Simba_Branch2,220366.7888
MSMS27,15.795,Normal,Packed Foods,1986.12222,65,S003,1/3/2019,Level1,Nyarugenge,Simba_Branch1,129097.9443
ANMS06,8.346,Less fat,Cheese,2796.17314,76,S001,1/3/2019,,Nyarugenge,Simba_Branch4,212509.1586
PPGS10,25.48,Less fat,Hygiene,2406.84768,10,S015,1/3/2019,,Kicukiro,Simba_Branch1,24068.4768
PMPS11,13,Less fat,Packed Foods,4163.99482,21,S015,1/3/2019,,Kicukiro,Simba_Branch1,87443.89122
MMGS43,20.605,Normal,Sweet Potatoes,951.7654,32,S006,1/3/2019,Level3,Gasabo,Simba_Branch1,30456.4928
KLNS49,0,Normal,Cheese,3091.00658,43,S011,1/3/2019,Level3,Gasabo,Simba_Branch4,132913.2829
RKNS31,9.607,Less fat,Hygiene,2258.93484,54,S006,1/3/2019,Level3,Gasabo,Simba_Branch1,121982.4814
MKMS40,13.2535,Less fat,Irish Potatoes,2221.79178,65,S003,1/3/2019,Level1,Nyarugenge,Simba_Branch1,144416.4657
MBNS75,12.8635,Normal,Packed Foods,1837.67244,76,S003,1/3/2019,Level1,Nyarugenge,Simba_Branch1,139663.1054
BSRS13,14.1635,Less fat,Fruits line,3083.15658,87,S010,1/3/2019,,Kicukiro,Simba_Branch1,268234.6225
ERCS44,15.795,Less fat,kitchen items,2378.09156,98,S010,1/3/2019,,Kicukiro,Simba_Branch1,233052.9729
KLBS49,10.2765,Less fat,Fried Foods,3909.94056,109,S008,1/3/2019,Level2,Nyarugenge,Simba_Branch2,426183.521
MTNS36,11.9535,Less fat,kitchen items,1666.74654,120,S015,1/3/2019,,Kicukiro,Simba_Branch1,200009.5848
FDLS47,10.8745,Less fat,Alcohols,597.39442,131,S009,1/3/2019,Level2,Gasabo,Simba_Branch1,78258.66902
MJRS51,19.63,Less fat,Fried Foods,3053.8227,142,S006,1/3/2019,Level3,Gasabo,Simba_Branch1,433642.8234
PLMS53,0,Less fat,Packed Foods,2826.54008,153,S011,1/3/2019,Level3,Gasabo,Simba_Branch4,432460.6322
MSRS90,13,Less fat,Fruits line,3876.55608,164,S008,1/3/2019,Level2,Nyarugenge,Simba_Branch2,635755.1971
KMMS93,10.361,Normal,Meat,1371.41698,175,S015,1/3/2019,,Kicukiro,Simba_Branch1,239997.9715
NCMS99,0,Less fat,Fruits line,601.07136,186,S007,1/3/2019,Level2,Nyarugenge,Simba_Branch3,111799.273
KIIS21,0,Normal,Irish Potatoes,801.78644,197,S011,1/3/2019,Level3,Gasabo,Simba_Branch4,157951.9287
KMZS07,0,Less fat,Fried Foods,4016.61892,208,S007,1/3/2019,Level2,Nyarugenge,Simba_Branch3,835456.7354
GMJS30,23.01,Less fat,Fried Foods,2911.19762,219,S001,1/3/2019,,Nyarugenge,Simba_Branch4,637552.2788
TNHS02,25.155,Less fat,Meat,2709.40866,230,S005,1/3/2019,Level3,Kicukiro,Simba_Branch1,623163.9918
JKIS36,17.745,Normal,Cheese,2920.5768,241,S015,1/3/2019,,Kicukiro,Simba_Branch1,703859.0088
HWZS40,22.88,Less fat,Sodas,2588.18582,252,S015,1/3/2019,,Kicukiro,Simba_Branch1,652222.8266
KGAS09,11.2385,Less fat,Hygiene,1504.7037,263,S006,1/3/2019,Level3,Gasabo,Simba_Branch1,395737.0731
KWRS39,20.28,Normal,Fried Foods,2671.76948,274,S006,1/3/2019,Level3,Gasabo,Simba_Branch1,732064.8375
MMGS43,20.605,Normal,Sweet Potatoes,929.7854,285,S003,1/3/2019,Level1,Nyarugenge,Simba_Branch1,264988.839
KCWS40,23.725,Less fat,Kabenzi Foods,2586.61582,296,S015,1/3/2019,,Kicukiro,Simba_Branch1,765638.2827
NYZS47,10.2115,Less fat,Packed Foods,2977.01516,307,S010,1/3/2019,,Kicukiro,Simba_Branch1,913943.6541
TTSS11,10.1725,Less fat,kitchen items,3993.60586,318,S009,1/3/2019,Level2,Gasabo,Simba_Branch1,1269966.663
JVPS29,10.907,Normal,Irish Potatoes,1790.07632,329,S006,1/3/2019,Level3,Gasabo,Simba_Branch1,588935.1093
MCTS32,16.705,Less fat,Fried Foods,2705.77254,340,S009,1/3/2019,Level2,Gasabo,Simba_Branch1,919962.6636
BTBS09,0,Less fat,Sweet Potatoes,1412.69228,351,S011,1/3/2019,Level3,Gasabo,Simba_Branch4,495854.9903
SRNS15,24.7,Less fat,Irish Potatoes,1647.90654,362,S010,1/3/2019,,Kicukiro,Simba_Branch1,596542.1675
NDCS46,7.6765,Less fat,Packed Foods,3493.96592,373,S015,1/3/2019,,Kicukiro,Simba_Branch1,1303249.288
IBNS47,10.088,Less fat,Fried Foods,1599.359,384,S006,1/3/2019,Level3,Gasabo,Simba_Branch1,614153.856
MALS39,15.34,Normal,Irish Potatoes,2831.25008,395,S006,1/3/2019,Level3,Gasabo,Simba_Branch1,1118343.782
MGMS77,21.775,Less fat,Fried Foods,2950.90292,406,S008,1/3/2019,Level2,Nyarugenge,Simba_Branch2,1198066.586
GTTS82,0,Less fat,kitchen items,3055.43352,417,S011,1/3/2019,Level3,Gasabo,Simba_Branch4,1274115.778
KRJS47,0,Normal,Sweet Potatoes,2690.60948,428,S007,1/3/2019,Level2,Nyarugenge,Simba_Branch3,1151580.857
DDGS05,20.15,Normal,Fruits line,2778.94396,439,S010,1/3/2019,,Kicukiro,Simba_Branch1,1219956.398
GKGS23,7.8715,Less fat,Fruits line,2527.5744,450,S005,1/3/2019,Level3,Kicukiro,Simba_Branch1,1137408.48
SVKS26,0,Normal,Clothes line,2448.6191,461,S007,1/3/2019,Level2,Nyarugenge,Simba_Branch3,1128813.405
CCPS24,8.1965,Normal,Fried Foods,1501.60452,472,S006,1/3/2019,Level3,Gasabo,Simba_Branch1,708757.3334
PPPS27,27.105,Less fat,Meat,1841.30856,483,S009,1/3/2019,Level2,Gasabo,Simba_Branch1,889352.0345
ABGS43,26.975,Less fat,Fruits line,1918.1161,494,S001,1/3/2019,,Nyarugenge,Simba_Branch4,947549.3534
DDPS47,11.5635,Less fat,Cheese,626.64666,505,S009,1/3/2019,Level2,Gasabo,Simba_Branch1,316456.5633
TCKS02,25.48,Less fat,Sodas,866.03398,516,S015,1/3/2019,,Kicukiro,Simba_Branch1,446873.5337
SSTS21,25.61,Less fat,Fruits line,908.9201,527,S005,1/3/2019,Level3,Kicukiro,Simba_Branch1,479000.8927
KJMS01,12.74,Less fat,Hygiene,1798.42244,538,S005,1/3/2019,Level3,Kicukiro,Simba_Branch1,967551.2727
NKGS48,0,Less fat,Irish Potatoes,1884.64998,549,S011,1/3/2019,Level3,Gasabo,Simba_Branch4,1034672.839
RZWS31,15.795,Less fat,Irish Potatoes,3862.9222,560,S009,1/3/2019,Level2,Gasabo,Simba_Branch1,2163236.432
KNNS16,11.375,Normal,Fruits line,2943.05292,571,S005,1/3/2019,Level3,Kicukiro,Simba_Branch1,1680483.217
ERCS44,0,Less fat,kitchen items,2354.54156,582,S007,1/3/2019,Level2,Nyarugenge,Simba_Branch3,1370343.188
KNNS16,11.375,Normal,Fruits line,2949.33292,593,S006,1/3/2019,Level3,Gasabo,Simba_Branch1,1748954.422
NRPS44,17.29,Less fat,Irish Potatoes,2371.81156,604,S015,1/3/2019,,Kicukiro,Simba_Branch1,1432574.182
MRHS38,0,Normal,Fried Foods,2802.99008,615,S007,1/3/2019,Level2,Nyarugenge,Simba_Branch3,1723838.899
RHKS33,10.803,Normal,Fried Foods,2811.91396,626,S009,1/3/2019,Level2,Gasabo,Simba_Branch1,1760258.139
KRNS43,21.775,Normal,Sodas,608.88054,637,S003,1/3/2019,Level1,Nyarugenge,Simba_Branch1,387856.904
BKWS21,25.675,Less fat,Fried Foods,3329.81614,648,S008,1/3/2019,Level2,Nyarugenge,Simba_Branch2,2157720.859
URPS05,22.23,Normal,Packed Foods,2216.58566,659,S003,1/3/2019,Level1,Nyarugenge,Simba_Branch1,1460729.95
KMBS49,13.65,Normal,Sweet Potatoes,2560.9997,670,S003,1/3/2019,Level1,Nyarugenge,Simba_Branch1,1715869.799
KANS38,8.6255,Normal,Sweet Potatoes,1904.56386,681,S015,1/3/2019,,Kicukiro,Simba_Branch1,1297007.989
AGRS10,0,Less fat,Sodas,3538.3404,692,S011,1/4/2019,Level3,Gasabo,Simba_Branch4,2448531.557
NSGS13,18.395,Less fat,Sodas,650.19666,703,S003,1/4/2019,Level1,Nyarugenge,Simba_Branch1,457088.252
AMNS18,17.29,Less fat,Cheese,3650.721,714,S006,1/4/2019,Level3,Gasabo,Simba_Branch1,2606614.794
KKRS60,11.557,Less fat,Irish Potatoes,1607.70512,725,S010,1/4/2019,,Kicukiro,Simba_Branch1,1165586.212
SDWS04,0,Normal,Meat,2777.9109,736,S011,1/4/2019,Level3,Gasabo,Simba_Branch4,2044542.422
IRSS33,0,Less fat,Fried Foods,1910.84386,747,S007,1/4/2019,Level2,Nyarugenge,Simba_Branch3,1427400.363
MAFS41,11.83,Normal,Simba Breads,2719.32478,758,S015,1/4/2019,,Kicukiro,Simba_Branch1,2061248.183
FFPS34,9.75,Less fat,Irish Potatoes,3753.72242,769,S009,1/4/2019,Level2,Gasabo,Simba_Branch1,2886612.541
IFFS10,21.905,Normal,Irish Potatoes,3021.43046,780,S010,1/4/2019,,Kicukiro,Simba_Branch1,2356715.759
SCES70,9.7305,Less fat,Fried Foods,1711.65796,791,S005,1/4/2019,Level3,Kicukiro,Simba_Branch1,1353921.446
NLLS10,15.08,Less fat,Sodas,2202.95178,802,S010,1/4/2019,,Kicukiro,Simba_Branch1,1766767.328
NOFS43,15.145,Less fat,Fried Foods,3564.98958,813,S008,1/4/2019,Level2,Nyarugenge,Simba_Branch2,2898336.529
EECS15,16.9,Less fat,kitchen items,745.80338,824,S010,1/4/2019,,Kicukiro,Simba_Branch1,614541.9851
OUKS79,16.445,Less fat,Sodas,2497.20746,835,S015,1/4/2019,,Kicukiro,Simba_Branch1,2085168.229
DDAS66,26.325,Normal,Packed Foods,1452.4384,846,S001,1/4/2019,,Nyarugenge,Simba_Branch4,1228762.886
WDYS14,11.18,Normal,Packed Foods,2985.4021,857,S005,1/4/2019,Level3,Kicukiro,Simba_Branch1,2558489.6
SCDS55,16.38,Less fat,Simba Breads,984.69458,868,S010,1/4/2019,,Kicukiro,Simba_Branch1,854714.8954
KUKS61,23.01,Less fat,Irish Potatoes,1492.1437,879,S005,1/4/2019,Level3,Kicukiro,Simba_Branch1,1311594.312
FKLS41,18.395,Less fat,Sodas,1294.11332,890,S006,1/4/2019,Level3,Gasabo,Simba_Branch1,1151760.855
TMPS60,25.025,Less fat,Cheese,828.89092,901,S010,1/4/2019,,Kicukiro,Simba_Branch1,746830.7189
INOS69,11.544,Less fat,Alcohols,2382.76074,912,S003,1/4/2019,Level1,Nyarugenge,Simba_Branch1,2173077.795
NDSS46,26.65,Less fat,kitchen items,632.43054,923,S015,1/4/2019,,Kicukiro,Simba_Branch1,583733.3884
WNBS56,0,Less fat,Packed Foods,2835.38232,934,S007,1/4/2019,Level2,Nyarugenge,Simba_Branch3,2648247.087
KNCS56,17.55,Less fat,kitchen items,2516.5844,945,S006,1/4/2019,Level3,Gasabo,Simba_Branch1,2378172.258
BCYS35,0,Less fat,Hygiene,3523.71428,956,S007,1/4/2019,Level2,Nyarugenge,Simba_Branch3,3368670.852
KKRS60,11.557,Less fat,Irish Potatoes,1596.71512,967,S001,1/4/2019,,Nyarugenge,Simba_Branch4,1544023.521
NYZS47,10.2115,Less fat,Packed Foods,2959.74516,978,S008,1/4/2019,Level2,Nyarugenge,Simba_Branch2,2894630.766
DMGS26,9.4055,Less fat,kitchen items,1821.97244,989,S006,1/4/2019,Level3,Gasabo,Simba_Branch1,1801930.743
KCWS40,0,Less fat,Kabenzi Foods,2597.60582,10,S007,1/4/2019,Level2,Nyarugenge,Simba_Branch3,25976.0582
RDCS20,8.996,Less fat,Cheese,951.18764,21,S015,1/4/2019,,Kicukiro,Simba_Branch1,19974.94044
SBHS44,12.09,Less fat,Fruits line,1425.83004,32,S010,1/4/2019,,Kicukiro,Simba_Branch1,45626.56128
MDXS50,24.05,Less fat,Cooking Oil,2074.41588,43,S001,1/4/2019,,Nyarugenge,Simba_Branch4,89199.88284
CIBS45,10.426,Less fat,kitchen items,2427.17604,54,S005,1/4/2019,Level3,Kicukiro,Simba_Branch1,131067.5062
MTNS36,11.9535,Less fat,kitchen items,1651.04654,65,S010,1/4/2019,,Kicukiro,Simba_Branch1,107318.0251
GRXS01,16.64,Less fat,Cooking Oil,1657.82266,76,S015,1/4/2019,,Kicukiro,Simba_Branch1,125994.5222
BDRS40,21.58,Less fat,kitchen items,2788.86008,87,S009,1/4/2019,Level2,Gasabo,Simba_Branch1,242630.827
OFSS39,18.2,Normal,Irish Potatoes,833.1048,98,S005,1/4/2019,Level3,Kicukiro,Simba_Branch1,81644.2704
PRWS40,24.18,Less fat,Irish Potatoes,3868.16914,109,S009,1/4/2019,Level2,Gasabo,Simba_Branch1,421630.4363
CFNS49,20.8,Less fat,Kabenzi Foods,3561.39428,120,S005,1/4/2019,Level3,Kicukiro,Simba_Branch1,427367.3136
XIWS60,22.88,Less fat,Hygiene,2522.8644,131,S005,1/4/2019,Level3,Kicukiro,Simba_Branch1,330495.2364
SARS47,27.625,Less fat,Fried Foods,2798.3209,142,S005,1/4/2019,Level3,Kicukiro,Simba_Branch1,397361.5678
DMGS26,9.4055,Less fat,kitchen items,1845.52244,153,S005,1/4/2019,Level3,Kicukiro,Simba_Branch1,282364.9333
JXOS20,18.98,Less fat,Sodas,790.79644,164,S010,1/4/2019,,Kicukiro,Simba_Branch1,129690.6162
GAJS25,18.005,Normal,Irish Potatoes,2535.8797,175,S008,1/4/2019,Level2,Nyarugenge,Simba_Branch2,443778.9475
WXGS39,17.745,Normal,Irish Potatoes,3102.98882,186,S008,1/4/2019,Level2,Nyarugenge,Simba_Branch2,577155.9205
PBFS90,0,Less fat,Sodas,491.253,197,S007,1/4/2019,Level2,Nyarugenge,Simba_Branch3,96776.841
LBCS93,9.5745,Less fat,Fruits line,3550.9004,208,S006,1/4/2019,Level3,Gasabo,Simba_Branch1,738587.2832
ATWS31,23.855,Less fat,kitchen items,3510.12122,219,S008,1/4/2019,Level2,Nyarugenge,Simba_Branch2,768716.5472
DGZS37,7.1045,Normal,Sweet Potatoes,2081.23282,230,S008,1/4/2019,Level2,Nyarugenge,Simba_Branch2,478683.5486
ESLS46,24.18,Less fat,Clothes line,1567.42206,241,S010,1/4/2019,,Kicukiro,Simba_Branch1,377748.7165
KJBS56,18.005,Less fat,Sodas,2212.37178,252,S010,1/4/2019,,Kicukiro,Simba_Branch1,557517.6886
MNFS43,18.2,Normal,Irish Potatoes,2426.67992,263,S003,1/4/2019,Level1,Nyarugenge,Simba_Branch1,638216.819
UKAS12,18.2,Normal,Fried Foods,859.7948,274,S003,1/4/2019,Level1,Nyarugenge,Simba_Branch1,235583.7752
FURS24,0,Less fat,Fruits line,1523.04758,285,S007,1/4/2019,Level2,Nyarugenge,Simba_Branch3,434068.5603
NDCS46,7.6765,Less fat,Packed Foods,3493.96592,296,S008,1/4/2019,Level2,Nyarugenge,Simba_Branch2,1034213.912
ZKBS30,9.451,Less fat,Sodas,1793.75326,307,S006,1/4/2019,Level3,Gasabo,Simba_Branch1,550682.2508
STCS41,8.0015,Normal,Meat,3368.5292,318,S006,1/4/2019,Level3,Gasabo,Simba_Branch1,1071192.286
AZFS97,25.35,Normal,Sodas,3665.88406,329,S010,1/4/2019,,Kicukiro,Simba_Branch1,1206075.856
CBLS90,19.76,Less fat,Packed Foods,3405.05368,340,S010,1/4/2019,,Kicukiro,Simba_Branch1,1157718.251
MSMS27,15.795,Normal,Packed Foods,1962.57222,351,S008,1/4/2019,Level2,Nyarugenge,Simba_Branch2,688862.8492
TSMS45,0,Less fat,kitchen items,3121.29188,362,S007,1/4/2019,Level2,Nyarugenge,Simba_Branch3,1129907.661
SCDS55,16.38,Less fat,Simba Breads,972.13458,373,S008,1/4/2019,Level2,Nyarugenge,Simba_Branch2,362606.1983
FKFS91,18.85,Less fat,Cooking Oil,2587.6897,384,S005,1/4/2019,Level3,Kicukiro,Simba_Branch1,993672.8448
CUPS88,21.58,Less fat,Fruits line,2717.25866,395,S010,1/4/2019,,Kicukiro,Simba_Branch1,1073317.171
PUDS80,15.34,Normal,Meat,2377.55462,406,S003,1/4/2019,Level1,Nyarugenge,Simba_Branch1,965287.1757
EFRS83,17.03,Normal,Fruits line,2807.65926,417,S003,1/4/2019,Level1,Nyarugenge,Simba_Branch1,1170793.911
CKSS56,23.01,Less fat,Fruits line,1808.37938,428,S001,1/4/2019,,Nyarugenge,Simba_Branch4,773986.3746
FIZS09,23.205,Less fat,Simba Breads,3086.29658,439,S001,1/4/2019,,Nyarugenge,Simba_Branch4,1354884.199
SSIS69,15.99,Normal,Kabenzi Foods,1455.08228,450,S015,1/4/2019,,Kicukiro,Simba_Branch1,654787.026
OUFS15,15.34,Less fat,Hygiene,1278.95026,461,S001,1/4/2019,,Nyarugenge,Simba_Branch4,589596.0699
YUCS17,0,Normal,Sodas,661.14584,472,S011,1/4/2019,Level3,Gasabo,Simba_Branch4,312060.8365
KEFS27,14.43,Less fat,Sweet Potatoes,2472.12828,483,S015,1/4/2019,,Kicukiro,Simba_Branch1,1194037.959
MNFS43,0,Normal,Irish Potatoes,2403.12992,494,S007,1/4/2019,Level2,Nyarugenge,Simba_Branch3,1187146.18
OESS59,14.69,Less fat,Meat,3110.83882,505,S015,1/4/2019,,Kicukiro,Simba_Branch1,1570973.604
BCKS70,0,Less fat,Hygiene,1851.7208,516,S011,1/4/2019,Level3,Gasabo,Simba_Branch4,955487.9328
FPOS92,7.475,Normal,Cheese,1771.23632,527,S003,1/4/2019,Level1,Nyarugenge,Simba_Branch1,933441.5406
TFKS20,0,Normal,Sweet Potatoes,3560.85734,538,S007,1/4/2019,Level2,Nyarugenge,Simba_Branch3,1915741.249
ICWS49,14.755,Normal,Fried Foods,1570.02512,549,S008,1/4/2019,Level2,Nyarugenge,Simba_Branch2,861943.7909
RKZS20,0,Normal,Fruits line,2602.31582,560,S011,1/4/2019,Level3,Gasabo,Simba_Branch4,1457296.859
YKOS54,18.2,Less fat,Hygiene,2047.7667,571,S009,1/4/2019,Level2,Gasabo,Simba_Branch1,1169274.786
AFYS69,25.675,Normal,Irish Potatoes,2822.3262,582,S015,1/4/2019,,Kicukiro,Simba_Branch1,1642593.848
XWIS32,8.4825,Less fat,kitchen items,1335.88474,593,S009,1/4/2019,Level2,Gasabo,Simba_Branch1,792179.6508
VIKS34,13.39,Less fat,Meat,1632.24736,604,S009,1/4/2019,Level2,Gasabo,Simba_Branch1,985877.4054
BBUS94,7.514,Normal,Fried Foods,4156.68176,615,S009,1/4/2019,Level2,Gasabo,Simba_Branch1,2556359.282
SYFS83,15.405,Normal,Fruits line,2577.19582,626,S015,1/4/2019,,Kicukiro,Simba_Branch1,1613324.583
TDES15,21.255,Less fat,Fruits line,787.07868,637,S008,1/4/2019,Level2,Nyarugenge,Simba_Branch2,501369.1192
ICOS41,0,Less fat,kitchen items,2866.78232,648,S007,1/4/2019,Level2,Nyarugenge,Simba_Branch3,1857674.943
MTAS23,13.65,Less fat,Fruits line,590.57748,10,S006,1/4/2019,Level3,Gasabo,Simba_Branch1,5905.7748
HWIS19,24.7,Normal,Irish Potatoes,754.72726,21,S006,1/4/2019,Level3,Gasabo,Simba_Branch1,15849.27246
SRUS14,18.98,Less fat,Cooking Oil,3750.00466,32,S009,1/4/2019,Level2,Gasabo,Simba_Branch1,120000.1491
OSXS17,0,Normal,Cheese,987.83458,43,S007,1/4/2019,Level2,Nyarugenge,Simba_Branch3,42476.88694
LSOS22,0,Normal,Packed Foods,3652.291,54,S007,1/4/2019,Level2,Nyarugenge,Simba_Branch3,197223.714
NYKS55,24.375,Less fat,Hygiene,1642.6596,65,S015,1/4/2019,,Kicukiro,Simba_Branch1,106772.874
TXUS73,6.838,Normal,Sweet Potatoes,2541.62276,76,S005,1/4/2019,Level3,Kicukiro,Simba_Branch1,193163.3298
UZZS90,23.725,Less fat,Fried Foods,2201.38178,87,S015,1/4/2019,,Kicukiro,Simba_Branch1,191520.2149
FKYS25,0,Less fat,Sweet Potatoes,2793.6109,98,S007,1/4/2019,Level2,Nyarugenge,Simba_Branch3,273773.8682
FKYS36,19.63,Less fat,Meat,3811.19384,109,S006,1/4/2019,Level3,Gasabo,Simba_Branch1,415420.1286
CYKS34,20.15,Normal,Sweet Potatoes,1281.01638,120,S001,1/4/2019,,Nyarugenge,Simba_Branch4,153721.9656
KWHS05,17.745,Less fat,Irish Potatoes,718.12114,131,S009,1/4/2019,Level2,Gasabo,Simba_Branch1,94073.86934
CHWS09,20.93,Less fat,Sodas,2973.33822,142,S015,1/4/2019,,Kicukiro,Simba_Branch1,422214.0272
KGTS41,0,Normal,Fried Foods,1685.58654,153,S011,1/4/2019,Level3,Gasabo,Simba_Branch4,257894.7406
MKBS51,16.705,Less fat,Irish Potatoes,623.54748,164,S001,1/4/2019,,Nyarugenge,Simba_Branch4,102261.7867
PBFS90,12.35,Less fat,Sodas,517.943,175,S005,1/4/2019,Level3,Kicukiro,Simba_Branch1,90640.025
EGTS62,17.94,Less fat,Cheese,3849.32914,186,S005,1/4/2019,Level3,Kicukiro,Simba_Branch1,715975.22
BBUS94,7.514,Normal,Fried Foods,4140.98176,197,S010,1/4/2019,,Kicukiro,Simba_Branch1,815773.4067
AABS40,25.61,Less fat,kitchen items,1508.33982,208,S015,1/4/2019,,Kicukiro,Simba_Branch1,313734.6826
ZZKS18,19.045,Less fat,kitchen items,2536.41664,219,S001,1/4/2019,,Nyarugenge,Simba_Branch4,555475.2442
BIES78,8.671,Normal,Fried Foods,2041.98282,230,S001,1/5/2019,,Nyarugenge,Simba_Branch4,469656.0486
